nodeID,nodeLabel,latitude,longetude,country_name,country_ISO3
0,levelcrossing,42.910885499999864,-4.116575500000181,Spain,ES
1,levelcrossing,36.99097449999985,-4.928005000000184,Spain,ES
2,levelcrossing,36.763817999999844,-5.186172000000198,Spain,ES
3,levelcrossing,36.46132399999985,-5.420512000000201,Spain,ES
4,station,43.216301499999844,-2.7354490000001874,Spain,ES
5,levelcrossing,43.16780649999984,-2.5748155000001987,Spain,ES
6,levelcrossing,36.17316249999985,-5.461707000000189,Spain,ES
7,levelcrossing,43.14482099999984,-2.9412465000002044,Spain,ES
8,levelcrossing,43.155237999999855,-2.934870500000187,Spain,ES
9,levelcrossing,43.40723199999985,-3.8417030000001944,Spain,ES
10,levelcrossing,36.68451249999987,-6.127729500000186,Spain,ES
11,levelcrossing,43.366539499999845,-3.9063550000001896,Spain,ES
12,levelcrossing,43.38001349999985,-3.881027000000188,Spain,ES
13,levelcrossing,43.35166349999986,-3.947333000000185,Spain,ES
14,levelcrossing,43.34543349999984,-3.997243500000195,Spain,ES
15,levelcrossing,43.256323999999836,-4.064080000000189,Spain,ES
16,levelcrossing,43.29505949999984,-2.9761730000001876,Spain,ES
17,unknown,43.21738699999986,-4.068534500000197,Spain,ES
18,levelcrossing,43.190104999999846,-4.052407500000186,Spain,ES
19,levelcrossing,43.187163999999854,-4.0510275000002025,Spain,ES
20,unknown,43.14407799999984,-4.0522915000001944,Spain,ES
21,unknown,43.12212049999985,-4.070219000000208,Spain,ES
22,unknown,43.12073949999984,-4.0830900000001975,Spain,ES
23,levelcrossing,43.104928999999856,-4.090622000000195,Spain,ES
24,levelcrossing,43.05698249999986,-4.083777000000197,Spain,ES
25,unknown,43.02141499999985,-4.113313000000204,Spain,ES
26,unknown,43.01217349999985,-4.121870500000199,Spain,ES
27,levelcrossing,42.97659849999985,-4.150784500000185,Spain,ES
28,levelcrossing,42.97655849999984,-4.150797000000182,Spain,ES
29,levelcrossing,42.87305299999986,-4.162014000000198,Spain,ES
30,levelcrossing,42.83467149999984,-4.19577750000019,Spain,ES
31,levelcrossing,42.81957199999985,-4.202517000000199,Spain,ES
32,levelcrossing,42.83567499999984,-4.196588500000189,Spain,ES
33,levelcrossing,42.78309899999985,-4.234880500000202,Spain,ES
34,levelcrossing,42.57958299999984,-4.323761000000189,Spain,ES
35,station,42.69076799999985,-2.9419560000002036,Spain,ES
36,levelcrossing,42.691455999999846,-2.9392325000002018,Spain,ES
37,unknown,42.68573599999985,-2.9560680000001867,Spain,ES
38,levelcrossing,42.59948199999985,-4.3164795000001845,Spain,ES
39,levelcrossing,42.50816049999986,-4.366996000000199,Spain,ES
40,levelcrossing,42.406881999999854,-4.358767000000199,Spain,ES
41,levelcrossing,42.40301099999985,-4.360895500000197,Spain,ES
42,levelcrossing,42.26614499999985,-4.401597500000207,Spain,ES
43,levelcrossing,42.177508999999844,-4.48113650000019,Spain,ES
44,unknown,42.330939999999856,-3.7583655000001954,Spain,ES
45,station,42.059562999999855,-1.5978750000001867,Spain,ES
46,unknown,42.06337699999986,-1.6017200000001992,Spain,ES
47,unknown,43.26357199999984,-5.794386000000202,Spain,ES
48,station,43.249876999999856,-5.782354000000197,Spain,ES
49,station,37.33561049999986,-5.413288500000192,Spain,ES
