nodeID,nodeLabel,latitude,longetude,country_name,country_ISO3
0,station,41.38503249999985,23.36186699999979,Bulgaria,BG
1,unknown,41.76433349999985,26.16172199999977,Bulgaria,BG
2,station,41.758912999999865,26.201348499999767,Bulgaria,BG
3,station,42.99809649999986,22.835940499999765,Bulgaria,BG
4,station,42.25572199999985,23.10110949999978,Bulgaria,BG
5,station,41.51098899999985,23.269038499999766,Bulgaria,BG
6,station,43.701366499999835,28.03332249999977,Bulgaria,BG
7,unknown,43.48267349999986,25.770937499999775,Bulgaria,BG
8,station,43.75611899999984,25.907633999999774,Bulgaria,BG
9,unknown,43.88730049999984,26.006046999999768,Bulgaria,BG
10,unknown,43.690217999999845,23.847456999999764,Bulgaria,BG
11,unknown,42.003532499999864,23.628323499999766,Bulgaria,BG
12,station,42.14234549999986,24.804190999999776,Bulgaria,BG
13,unknown,42.72540649999985,23.358469999999784,Bulgaria,BG
14,station,42.14397799999986,25.864571499999784,Bulgaria,BG
15,station,42.10168449999986,24.870961499999765,Bulgaria,BG
16,station,42.22714599999986,25.526524499999766,Bulgaria,BG
17,unknown,42.73898299999985,23.325058999999783,Bulgaria,BG
18,station,42.13225149999985,25.492159999999785,Bulgaria,BG
19,station,42.58383199999986,26.58836299999976,Bulgaria,BG
20,station,42.188750999999854,24.83755999999977,Bulgaria,BG
21,station,42.06044749999984,24.465840499999786,Bulgaria,BG
22,station,43.17736449999984,27.62485799999976,Bulgaria,BG
23,station,42.13285449999984,24.530051499999786,Bulgaria,BG
24,station,42.15679949999986,24.13635549999978,Bulgaria,BG
25,station,42.13158799999985,24.605032999999764,Bulgaria,BG
26,unknown,42.74856549999984,23.251997999999787,Bulgaria,BG
27,station,42.17164849999986,24.315740499999777,Bulgaria,BG
28,station,42.62822699999984,23.581072999999776,Bulgaria,BG
29,station,42.14148349999985,24.40350449999977,Bulgaria,BG
30,station,42.09761449999985,24.083083499999788,Bulgaria,BG
31,station,42.09351749999985,24.82386699999978,Bulgaria,BG
32,station,42.10097499999986,25.228211499999787,Bulgaria,BG
33,station,42.10239799999985,25.321136499999767,Bulgaria,BG
34,unknown,42.17201999999986,24.741270999999784,Bulgaria,BG
35,station,42.132232499999844,24.730149499999783,Bulgaria,BG
36,unknown,42.75935749999985,23.239365499999764,Bulgaria,BG
37,unknown,41.457737499999865,23.27492449999977,Bulgaria,BG
38,station,42.138847499999855,25.06000949999978,Bulgaria,BG
39,station,42.69737649999985,24.389880499999776,Bulgaria,BG
40,station,42.15315649999985,23.038867499999782,Bulgaria,BG
41,station,42.16819399999986,24.740599999999773,Bulgaria,BG
42,station,42.17052099999984,25.90344749999977,Bulgaria,BG
43,station,42.20407499999985,24.12976349999977,Bulgaria,BG
44,station,42.72403549999984,23.556390999999763,Bulgaria,BG
45,unknown,42.71566749999985,23.312977999999788,Bulgaria,BG
46,station,43.17003249999985,25.664437499999764,Bulgaria,BG
47,station,42.30897149999984,25.939043999999768,Bulgaria,BG
48,unknown,42.44759349999984,26.045275999999774,Bulgaria,BG
49,unknown,42.75353899999985,23.482643499999767,Bulgaria,BG
50,unknown,42.78097549999984,23.374443999999784,Bulgaria,BG
51,station,42.81181699999985,23.35139399999977,Bulgaria,BG
52,station,43.07505049999986,27.60745149999977,Bulgaria,BG
53,station,42.46895599999985,26.479121499999764,Bulgaria,BG
54,station,42.50429149999985,27.45641999999978,Bulgaria,BG
55,station,43.16959399999985,25.616616499999765,Bulgaria,BG
56,station,42.70670299999986,23.026936499999778,Bulgaria,BG
57,station,42.716987499999846,23.309857499999765,Bulgaria,BG
58,station,42.70679849999985,23.54366799999977,Bulgaria,BG
59,unknown,42.74004349999984,23.322453499999767,Bulgaria,BG
60,unknown,42.74263399999984,23.323441499999774,Bulgaria,BG
61,unknown,43.129924999999844,27.59440799999976,Bulgaria,BG
62,station,43.139533999999855,25.688240999999778,Bulgaria,BG
63,station,43.13900749999985,25.623448499999768,Bulgaria,BG
64,station,43.15275949999986,25.610573999999787,Bulgaria,BG
65,unknown,43.161845999999855,27.628788999999784,Bulgaria,BG
66,unknown,43.16347899999985,27.623858499999784,Bulgaria,BG
67,station,43.19232199999985,27.633197999999766,Bulgaria,BG
68,unknown,43.22153699999984,27.593403999999765,Bulgaria,BG
69,station,43.30719749999986,27.17954149999977,Bulgaria,BG
70,station,41.45774099999986,23.27494349999978,Bulgaria,BG
71,station,41.88410949999985,23.472227999999774,Bulgaria,BG
72,station,41.88999049999984,23.10870449999979,Bulgaria,BG
73,station,42.67971799999984,26.027377499999773,Bulgaria,BG
74,unknown,43.73888799999986,23.967791499999777,Bulgaria,BG
75,station,43.879541999999844,26.010821999999763,Bulgaria,BG
76,station,41.93172849999985,25.57326999999978,Bulgaria,BG
77,station,41.52130499999984,25.405022999999773,Bulgaria,BG
78,unknown,41.59806799999984,23.226550499999775,Bulgaria,BG
79,station,41.552522999999866,23.251304499999776,Bulgaria,BG
80,station,41.62917599999986,23.212452999999783,Bulgaria,BG
81,station,41.770845999999864,23.156540999999777,Bulgaria,BG
82,station,41.63186249999984,25.379265999999774,Bulgaria,BG
83,station,41.72206399999985,23.15741749999978,Bulgaria,BG
84,station,42.20420449999986,25.172846999999763,Bulgaria,BG
85,station,41.85553599999986,23.132365499999764,Bulgaria,BG
86,station,41.732143499999864,25.531023999999775,Bulgaria,BG
87,unknown,41.722027499999854,26.348307499999777,Bulgaria,BG
88,station,41.830257499999846,25.600363999999786,Bulgaria,BG
89,station,41.84239599999984,23.494444999999786,Bulgaria,BG
90,station,42.20175949999984,25.04012199999977,Bulgaria,BG
91,station,42.21253599999986,24.04699599999978,Bulgaria,BG
92,station,41.92458349999984,23.58360399999978,Bulgaria,BG
93,station,41.83914949999985,26.075415999999763,Bulgaria,BG
94,station,41.92617049999984,25.91821399999978,Bulgaria,BG
95,station,42.60473649999986,23.145922999999783,Bulgaria,BG
