nodeID,nodeLabel,latitude,longetude,country_name,country_ISO3
0,station,54.07029299999985,-2.8680230000001927,United Kingdom,GB
1,levelcrossing,51.647042999999854,-3.3280825000001926,United Kingdom,GB
2,unknown,55.97745949999984,-3.65732300000019,United Kingdom,GB
3,unknown,53.41029349999985,-3.068320000000199,United Kingdom,GB
4,levelcrossing,51.84845149999984,1.034801999999786,United Kingdom,GB
5,unknown,51.83854849999983,1.178019499999806,United Kingdom,GB
6,station,52.67849049999984,0.9486809999997945,United Kingdom,GB
7,levelcrossing,53.28290849999985,-4.563890500000184,United Kingdom,GB
8,unknown,50.74826199999984,-3.544459500000187,United Kingdom,GB
9,station,54.249191499999824,-0.777820500000189,United Kingdom,GB
10,levelcrossing,58.483138499999825,-3.287924000000203,United Kingdom,GB
11,levelcrossing,53.10525799999985,0.23619299999978693,United Kingdom,GB
12,unknown,54.237044999999824,-0.42205000000021187,United Kingdom,GB
13,levelcrossing,58.00417299999984,-4.397780500000181,United Kingdom,GB
14,station,53.31009449999985,-4.632450500000203,United Kingdom,GB
15,station,51.073649999999844,-4.060400500000185,United Kingdom,GB
16,station,53.13940049999985,-4.273346500000201,United Kingdom,GB
17,levelcrossing,50.36404949999985,-4.714432500000186,United Kingdom,GB
18,unknown,50.43891449999984,-3.6844925000002036,United Kingdom,GB
19,station,54.587713999999835,-1.0207380000001933,United Kingdom,GB
20,levelcrossing,52.40919149999985,0.2980104999998048,United Kingdom,GB
21,unknown,51.52349099999984,-0.06881400000020221,United Kingdom,GB
22,station,50.83685899999983,-0.13599350000021104,United Kingdom,GB
23,station,52.60516849999985,0.3686859999997978,United Kingdom,GB
24,unknown,51.678108999999836,-4.9112330000001805,United Kingdom,GB
25,levelcrossing,58.52254049999982,-3.4659970000001863,United Kingdom,GB
26,station,50.20947449999986,-5.298417500000198,United Kingdom,GB
27,unknown,52.62488999999985,1.3508984999998006,United Kingdom,GB
28,levelcrossing,58.259667499999836,-3.940952000000209,United Kingdom,GB
29,levelcrossing,55.921865999999824,-4.5740955000001975,United Kingdom,GB
30,unknown,55.946510499999846,-4.593223000000194,United Kingdom,GB
31,unknown,50.802913999999845,0.27639199999978814,United Kingdom,GB
32,unknown,51.85271299999985,-4.890660500000195,United Kingdom,GB
33,station,55.902221999999824,-4.500830000000207,United Kingdom,GB
34,unknown,50.30957299999983,-4.948256000000185,United Kingdom,GB
35,unknown,55.45899049999983,-4.625658500000185,United Kingdom,GB
36,unknown,51.55968949999985,0.5077569999997991,United Kingdom,GB
37,unknown,50.86330299999983,0.02551749999980757,United Kingdom,GB
38,unknown,50.27999699999984,-5.038239000000203,United Kingdom,GB
39,unknown,51.66955449999983,-4.126738000000188,United Kingdom,GB
40,unknown,58.512421999999845,-3.4560250000001815,United Kingdom,GB
41,unknown,51.023240499999844,-3.149765000000201,United Kingdom,GB
42,unknown,58.00078899999983,-4.1927170000001865,United Kingdom,GB
43,levelcrossing,52.51855849999984,-4.037249000000202,United Kingdom,GB
44,unknown,52.56381699999983,1.114084499999791,United Kingdom,GB
45,unknown,55.93340849999984,-4.694581000000198,United Kingdom,GB
46,unknown,56.006043499999834,-2.775327500000202,United Kingdom,GB
47,unknown,53.56647399999983,-0.09924050000020657,United Kingdom,GB
48,unknown,51.88105549999983,0.7820929999998043,United Kingdom,GB
49,unknown,58.01681499999984,-4.354773500000192,United Kingdom,GB
50,unknown,51.96784249999985,1.3357559999998045,United Kingdom,GB
51,levelcrossing,52.46629549999983,0.31585499999980016,United Kingdom,GB
52,levelcrossing,50.40643799999984,-4.66525200000018,United Kingdom,GB
53,unknown,50.31871849999985,-4.903020000000197,United Kingdom,GB
54,unknown,55.84731349999984,-4.425639000000189,United Kingdom,GB
55,unknown,50.230649499999856,-5.230037000000181,United Kingdom,GB
56,levelcrossing,54.61371549999984,-1.0587335000001872,United Kingdom,GB
57,unknown,52.43259299999983,-4.0313740000001985,United Kingdom,GB
58,unknown,51.81787049999983,-4.622249000000181,United Kingdom,GB
59,station,53.22473549999984,-4.137793000000187,United Kingdom,GB
60,unknown,50.33830599999985,-4.75183850000019,United Kingdom,GB
61,unknown,53.57098649999983,-0.11376200000020731,United Kingdom,GB
62,station,58.58728699999983,-3.528290500000196,United Kingdom,GB
63,unknown,57.609264499999824,-4.412582000000185,United Kingdom,GB
64,levelcrossing,54.07440149999985,-2.8346395000002076,United Kingdom,GB
65,unknown,52.406945999999834,-4.045607500000187,United Kingdom,GB
66,station,50.26441149999985,-5.0630690000001835,United Kingdom,GB
67,station,54.58988199999985,-1.0329355000002067,United Kingdom,GB
68,station,50.33877399999983,-4.789409500000204,United Kingdom,GB
69,unknown,55.84820449999984,-4.288387000000199,United Kingdom,GB
70,unknown,51.802058499999845,-4.700398500000205,United Kingdom,GB
71,unknown,51.47424299999983,-0.8664860000002079,United Kingdom,GB
72,levelcrossing,52.40682399999983,-4.060310000000186,United Kingdom,GB
73,station,50.83523049999985,-0.1697040000001948,United Kingdom,GB
74,unknown,55.412030499999844,-4.598055000000187,United Kingdom,GB
75,station,50.870888999999835,0.013051999999788677,United Kingdom,GB
76,unknown,51.65903899999984,-4.780411000000186,United Kingdom,GB
77,station,56.82552449999983,-5.092170500000208,United Kingdom,GB
78,unknown,53.21288549999983,-4.4364580000001865,United Kingdom,GB
79,unknown,51.774121499999836,-5.011765500000195,United Kingdom,GB
80,unknown,50.68170249999983,-2.1347190000001888,United Kingdom,GB
81,station,51.54591849999983,0.5604079999997964,United Kingdom,GB
82,levelcrossing,52.59801199999984,0.3656139999997947,United Kingdom,GB
83,unknown,55.37576449999983,-4.649736000000189,United Kingdom,GB
84,unknown,57.743659999999835,-4.075323500000195,United Kingdom,GB
85,unknown,50.185580499999844,-5.417080500000196,United Kingdom,GB
86,unknown,50.353424999999845,-4.704795000000189,United Kingdom,GB
87,unknown,51.571431499999846,-3.005971500000186,United Kingdom,GB
88,levelcrossing,51.827221999999836,-4.4930055000002085,United Kingdom,GB
89,unknown,54.07881399999985,-2.825026500000206,United Kingdom,GB
90,unknown,55.471625499999845,-4.622795500000194,United Kingdom,GB
91,unknown,53.28332899999984,-3.818845500000208,United Kingdom,GB
92,unknown,53.19727149999983,-4.375641000000201,United Kingdom,GB
93,levelcrossing,57.76177199999984,-4.016756000000186,United Kingdom,GB
94,unknown,55.948751499999844,-4.578454500000191,United Kingdom,GB
95,unknown,51.76234499999984,0.0047904999998138464,United Kingdom,GB
96,unknown,50.45493199999984,-4.524312000000208,United Kingdom,GB
97,unknown,55.84854149999984,-4.431553500000206,United Kingdom,GB
98,unknown,55.994983999999846,-4.709221000000184,United Kingdom,GB
99,unknown,55.689992999999845,-3.729911500000185,United Kingdom,GB
100,unknown,54.61133649999985,-1.0548380000001885,United Kingdom,GB
101,unknown,52.564966999999854,-3.9235405000002004,United Kingdom,GB
102,station,55.94285449999984,-4.553098500000203,United Kingdom,GB
103,unknown,50.17177549999985,-5.437745000000206,United Kingdom,GB
104,unknown,50.342947999999836,-4.7095635000002005,United Kingdom,GB
105,unknown,52.623312999999854,1.3141134999997917,United Kingdom,GB
106,unknown,57.48375249999984,-4.2220280000001935,United Kingdom,GB
107,unknown,50.26406649999984,-5.169428000000181,United Kingdom,GB
108,unknown,54.30553249999983,-2.7208995000002005,United Kingdom,GB
109,unknown,50.25611649999985,-5.082122000000197,United Kingdom,GB
110,unknown,53.21660349999985,-4.100748500000208,United Kingdom,GB
111,unknown,50.45402949999985,-4.622042000000192,United Kingdom,GB
112,station,55.93273749999983,-4.6906180000002,United Kingdom,GB
113,station,56.012695999999835,-4.733243000000186,United Kingdom,GB
114,unknown,51.53775199999984,0.6703869999998062,United Kingdom,GB
115,unknown,50.296046499999846,-4.9672200000001965,United Kingdom,GB
116,station,55.70370949999983,-4.7106610000001865,United Kingdom,GB
117,levelcrossing,50.83102499999984,-0.6690190000001905,United Kingdom,GB
118,levelcrossing,58.35587349999983,-3.8999120000001994,United Kingdom,GB
119,unknown,56.10035049999985,-4.836111000000187,United Kingdom,GB
120,unknown,51.84293399999984,-4.911523500000186,United Kingdom,GB
121,unknown,56.06750249999985,-4.808333000000204,United Kingdom,GB
122,unknown,50.218169999999844,-5.273564000000192,United Kingdom,GB
123,levelcrossing,50.830763999999846,-0.6081935000001977,United Kingdom,GB
124,levelcrossing,51.81655499999985,-4.61307100000019,United Kingdom,GB
125,unknown,55.69065049999983,-3.662802500000197,United Kingdom,GB
126,station,56.41131899999985,-5.473300500000192,United Kingdom,GB
127,station,55.641522999999836,-4.797915500000187,United Kingdom,GB
128,station,51.307825999999835,-0.24120550000020557,United Kingdom,GB
129,station,50.148115999999845,-5.065567500000185,United Kingdom,GB
130,unknown,53.86541699999984,-1.7081355000001963,United Kingdom,GB
131,unknown,52.37947299999985,-2.2411255000002086,United Kingdom,GB
132,station,52.45721549999985,1.5700459999997918,United Kingdom,GB
133,levelcrossing,53.82392549999983,-2.2371195000002047,United Kingdom,GB
134,station,51.551236499999845,0.7101399999997966,United Kingdom,GB
135,station,53.74200049999985,-2.993996000000209,United Kingdom,GB
136,levelcrossing,52.97529299999985,-0.11152850000019043,United Kingdom,GB
137,station,54.61373799999984,-1.5894210000001863,United Kingdom,GB
138,station,51.65668149999985,-3.5054550000001825,United Kingdom,GB
139,station,51.293112499999836,-0.23661550000019815,United Kingdom,GB
140,levelcrossing,51.80806699999985,-0.030548500000207923,United Kingdom,GB
141,unknown,53.78898649999985,-2.894315000000205,United Kingdom,GB
142,unknown,55.89740499999985,-3.0854055000002063,United Kingdom,GB
143,station,53.44563449999984,-1.9513525000001835,United Kingdom,GB
144,station,50.81203849999983,-0.5472205000002077,United Kingdom,GB
145,levelcrossing,53.10638699999984,0.24854699999980312,United Kingdom,GB
146,station,51.87507349999984,0.5550104999998098,United Kingdom,GB
147,station,51.684229499999844,-3.228195500000197,United Kingdom,GB
148,station,51.80769599999985,-0.02888400000020397,United Kingdom,GB
149,unknown,51.35981799999985,-0.18735450000019682,United Kingdom,GB
150,levelcrossing,52.99745999999985,-0.021687000000213175,United Kingdom,GB
151,unknown,52.936214499999835,-4.1204900000001885,United Kingdom,GB
152,station,55.790403999999825,-4.274308500000188,United Kingdom,GB
153,levelcrossing,51.60051149999984,-3.343324500000193,United Kingdom,GB
154,station,51.543836999999854,0.7120049999998059,United Kingdom,GB
155,levelcrossing,51.71949599999985,-2.5316120000001945,United Kingdom,GB
156,station,53.83455699999985,-2.2127015000002075,United Kingdom,GB
157,station,54.536669499999846,-1.5557870000002083,United Kingdom,GB
158,station,50.72252449999985,-1.1567570000001979,United Kingdom,GB
159,station,51.66492549999984,-3.141803500000208,United Kingdom,GB
160,levelcrossing,52.440667999999846,1.5607549999998014,United Kingdom,GB
161,station,52.570223999999854,1.1034659999997984,United Kingdom,GB
162,station,51.648498999999845,0.6041099999997925,United Kingdom,GB
163,station,51.697939999999846,-0.9059210000002054,United Kingdom,GB
164,unknown,50.445141499999835,-4.660999000000203,United Kingdom,GB
165,unknown,54.46047899999985,-0.8785935000001928,United Kingdom,GB
166,station,53.32162499999984,-3.8286740000002055,United Kingdom,GB
167,unknown,55.89933299999984,-4.322591500000186,United Kingdom,GB
168,unknown,53.701786999999825,-0.3583210000001884,United Kingdom,GB
169,station,51.12639299999984,-0.01954700000018761,United Kingdom,GB
170,station,52.93093999999985,1.2933954999998036,United Kingdom,GB
171,station,51.845131999999836,1.2655989999998098,United Kingdom,GB
172,station,51.439384999999845,-3.179321500000185,United Kingdom,GB
173,levelcrossing,52.75307599999985,0.4110759999998095,United Kingdom,GB
174,unknown,51.571015499999845,-3.0119375000001867,United Kingdom,GB
175,unknown,55.65779899999984,-4.709400000000187,United Kingdom,GB
176,levelcrossing,53.76497849999984,-2.9429560000002084,United Kingdom,GB
177,unknown,50.71174649999983,-1.1545950000001994,United Kingdom,GB
178,station,51.20573649999983,-3.4675050000001875,United Kingdom,GB
179,levelcrossing,52.97754549999985,-0.2954735000001847,United Kingdom,GB
180,levelcrossing,52.98983399999983,-4.087762500000196,United Kingdom,GB
181,station,55.92035899999985,-4.3182485000001805,United Kingdom,GB
182,unknown,51.60981799999985,0.5274404999998126,United Kingdom,GB
183,station,50.633848999999856,-1.179543500000193,United Kingdom,GB
184,unknown,51.31679299999985,-0.16163550000018745,United Kingdom,GB
185,unknown,50.22744849999984,-5.0999635000002,United Kingdom,GB
186,unknown,54.438398499999835,-0.7626445000001922,United Kingdom,GB
187,station,56.00480549999983,-4.72817600000019,United Kingdom,GB
188,levelcrossing,51.59198999999984,-1.138320000000192,United Kingdom,GB
189,station,53.892341499999844,-1.736876500000193,United Kingdom,GB
190,unknown,52.58779499999983,1.0672049999998023,United Kingdom,GB
191,unknown,50.66482849999983,-2.1183370000001958,United Kingdom,GB
192,station,55.634592499999826,-4.782641500000182,United Kingdom,GB
193,station,55.67354949999984,-3.767176500000204,United Kingdom,GB
194,station,51.417845999999855,-0.417261500000194,United Kingdom,GB
195,levelcrossing,52.975997999999834,-0.03153750000021205,United Kingdom,GB
196,station,50.78811549999983,-0.674768500000198,United Kingdom,GB
197,station,55.939133999999825,-4.312957000000182,United Kingdom,GB
198,unknown,53.80868699999985,-2.243331000000211,United Kingdom,GB
